2025-03-05 03:16:22,413 INFO: Machine machine3 initialized with tick rate 97 ticks per second
2025-03-05 03:16:22,989 INFO: Sent message to localhost:50052: sent_clock=48, system_time=1741162582
2025-03-05 03:16:22,990 INFO: Sent event to localhost:50052: updated logical clock to 48, system_time=1741162582
2025-03-05 03:16:22,997 INFO: Internal event: updated logical clock to 49, system_time=1741162582
2025-03-05 03:16:23,008 INFO: Internal event: updated logical clock to 50, system_time=1741162583
2025-03-05 03:16:23,022 INFO: Sent message to localhost:50051: sent_clock=51, system_time=1741162583
2025-03-05 03:16:23,022 INFO: Sent event to localhost:50051: updated logical clock to 51, system_time=1741162583
2025-03-05 03:16:23,032 INFO: Internal event: updated logical clock to 52, system_time=1741162583
2025-03-05 03:16:23,047 INFO: Sent message to localhost:50052: sent_clock=53, system_time=1741162583
2025-03-05 03:16:23,047 INFO: Sent event to localhost:50052: updated logical clock to 53, system_time=1741162583
2025-03-05 03:16:23,058 INFO: Sent message to localhost:50052: sent_clock=54, system_time=1741162583
2025-03-05 03:16:23,059 INFO: Sent event to localhost:50052: updated logical clock to 54, system_time=1741162583
2025-03-05 03:16:23,069 INFO: Internal event: updated logical clock to 55, system_time=1741162583
2025-03-05 03:16:23,081 INFO: Internal event: updated logical clock to 56, system_time=1741162583
2025-03-05 03:16:23,094 INFO: Internal event: updated logical clock to 57, system_time=1741162583
2025-03-05 03:16:23,107 INFO: Internal event: updated logical clock to 58, system_time=1741162583
2025-03-05 03:16:23,122 INFO: Sent message to localhost:50051: sent_clock=59, system_time=1741162583
2025-03-05 03:16:23,122 INFO: Received message from machine1: received_clock=54, system_time=1741162583
2025-03-05 03:16:23,124 INFO: Sent message to localhost:50052: sent_clock=59, system_time=1741162583
2025-03-05 03:16:23,124 INFO: Broadcast sent: updated logical clock to 59, system_time=1741162583
2025-03-05 03:16:23,131 INFO: Processed received message: updated logical clock to 60, system_time=1741162583, queue_length=0
2025-03-05 03:16:23,144 INFO: Internal event: updated logical clock to 61, system_time=1741162583
