2025-03-05 02:39:38,691 INFO: Machine machine2 initialized with tick rate 5 ticks per second
2025-03-05 02:39:38,697 INFO: gRPC server started on port 50052
2025-03-05 02:39:48,045 INFO: Sent message to localhost:50051: sent_clock=47, system_time=1741160388
2025-03-05 02:39:48,045 INFO: Sent event to localhost:50051: updated logical clock to 47, system_time=1741160388
2025-03-05 02:39:48,248 INFO: Sent message to localhost:50053: sent_clock=48, system_time=1741160388
2025-03-05 02:39:48,248 INFO: Sent event to localhost:50053: updated logical clock to 48, system_time=1741160388
2025-03-05 02:39:48,448 INFO: Internal event: updated logical clock to 49, system_time=1741160388
2025-03-05 02:39:48,653 INFO: Internal event: updated logical clock to 50, system_time=1741160388
2025-03-05 02:39:48,858 INFO: Internal event: updated logical clock to 51, system_time=1741160388
2025-03-05 02:39:49,061 INFO: Internal event: updated logical clock to 52, system_time=1741160389
2025-03-05 02:39:49,266 INFO: Received message from machine3: received_clock=50, system_time=1741160389
2025-03-05 02:39:49,269 INFO: Sent message to localhost:50051: sent_clock=53, system_time=1741160389
2025-03-05 02:39:49,271 INFO: Sent message to localhost:50053: sent_clock=53, system_time=1741160389
2025-03-05 02:39:49,272 INFO: Broadcast sent: updated logical clock to 53, system_time=1741160389
2025-03-05 02:39:49,471 INFO: Processed received message: updated logical clock to 54, system_time=1741160389, queue_length=0
2025-03-05 02:39:49,678 INFO: Sent message to localhost:50053: sent_clock=55, system_time=1741160389
2025-03-05 02:39:49,678 INFO: Sent event to localhost:50053: updated logical clock to 55, system_time=1741160389
2025-03-05 02:39:49,881 INFO: Internal event: updated logical clock to 56, system_time=1741160389
2025-03-05 02:39:50,086 INFO: Internal event: updated logical clock to 57, system_time=1741160390
2025-03-05 02:39:50,289 INFO: Received message from machine1: received_clock=55, system_time=1741160390
2025-03-05 02:39:50,289 INFO: Sent message to localhost:50053: sent_clock=58, system_time=1741160390
2025-03-05 02:39:50,289 INFO: Sent event to localhost:50053: updated logical clock to 58, system_time=1741160390
2025-03-05 02:39:50,491 INFO: Processed received message: updated logical clock to 59, system_time=1741160390, queue_length=0
2025-03-05 02:39:50,695 INFO: Sent message to localhost:50051: sent_clock=60, system_time=1741160390
2025-03-05 02:39:50,697 INFO: Sent message to localhost:50053: sent_clock=60, system_time=1741160390
2025-03-05 02:39:50,697 INFO: Broadcast sent: updated logical clock to 60, system_time=1741160390
2025-03-05 02:39:50,895 INFO: Internal event: updated logical clock to 61, system_time=1741160390
2025-03-05 02:39:51,104 INFO: Sent message to localhost:50051: sent_clock=62, system_time=1741160391
2025-03-05 02:39:51,108 INFO: Sent message to localhost:50053: sent_clock=62, system_time=1741160391
2025-03-05 02:39:51,108 INFO: Broadcast sent: updated logical clock to 62, system_time=1741160391
2025-03-05 02:39:51,304 INFO: Internal event: updated logical clock to 63, system_time=1741160391
2025-03-05 02:39:51,508 INFO: Internal event: updated logical clock to 64, system_time=1741160391
2025-03-05 02:39:51,708 INFO: Internal event: updated logical clock to 65, system_time=1741160391
2025-03-05 02:39:51,910 INFO: Internal event: updated logical clock to 66, system_time=1741160391
2025-03-05 02:39:52,117 INFO: Sent message to localhost:50051: sent_clock=67, system_time=1741160392
2025-03-05 02:39:52,120 INFO: Sent message to localhost:50053: sent_clock=67, system_time=1741160392
2025-03-05 02:39:52,120 INFO: Broadcast sent: updated logical clock to 67, system_time=1741160392
2025-03-05 02:39:52,318 INFO: Internal event: updated logical clock to 68, system_time=1741160392
2025-03-05 02:39:52,519 INFO: Internal event: updated logical clock to 69, system_time=1741160392
2025-03-05 02:39:52,724 INFO: Sent message to localhost:50051: sent_clock=70, system_time=1741160392
2025-03-05 02:39:52,725 INFO: Sent message to localhost:50053: sent_clock=70, system_time=1741160392
2025-03-05 02:39:52,725 INFO: Broadcast sent: updated logical clock to 70, system_time=1741160392
2025-03-05 02:39:52,927 INFO: Internal event: updated logical clock to 71, system_time=1741160392
2025-03-05 02:39:53,128 INFO: Internal event: updated logical clock to 72, system_time=1741160393
2025-03-05 02:39:53,333 INFO: Internal event: updated logical clock to 73, system_time=1741160393
2025-03-05 02:39:53,538 INFO: Internal event: updated logical clock to 74, system_time=1741160393
2025-03-05 02:39:53,743 INFO: Internal event: updated logical clock to 75, system_time=1741160393
2025-03-05 02:39:53,948 INFO: Internal event: updated logical clock to 76, system_time=1741160393
2025-03-05 02:39:54,149 INFO: Internal event: updated logical clock to 77, system_time=1741160394
2025-03-05 02:39:54,354 INFO: Sent message to localhost:50051: sent_clock=78, system_time=1741160394
2025-03-05 02:39:54,355 INFO: Sent event to localhost:50051: updated logical clock to 78, system_time=1741160394
2025-03-05 02:39:54,556 INFO: Internal event: updated logical clock to 79, system_time=1741160394
2025-03-05 02:39:54,760 INFO: Sent message to localhost:50051: sent_clock=80, system_time=1741160394
2025-03-05 02:39:54,763 INFO: Sent message to localhost:50053: sent_clock=80, system_time=1741160394
2025-03-05 02:39:54,763 INFO: Broadcast sent: updated logical clock to 80, system_time=1741160394
2025-03-05 02:39:54,962 INFO: Internal event: updated logical clock to 81, system_time=1741160394
2025-03-05 02:39:55,169 INFO: Sent message to localhost:50051: sent_clock=82, system_time=1741160395
2025-03-05 02:39:55,170 INFO: Sent message to localhost:50053: sent_clock=82, system_time=1741160395
2025-03-05 02:39:55,170 INFO: Broadcast sent: updated logical clock to 82, system_time=1741160395
2025-03-05 02:39:55,372 INFO: Internal event: updated logical clock to 83, system_time=1741160395
2025-03-05 02:39:55,573 INFO: Internal event: updated logical clock to 84, system_time=1741160395
2025-03-05 02:39:55,776 INFO: Internal event: updated logical clock to 85, system_time=1741160395
2025-03-05 02:39:55,977 INFO: Internal event: updated logical clock to 86, system_time=1741160395
2025-03-05 02:39:56,185 INFO: Sent message to localhost:50051: sent_clock=87, system_time=1741160396
2025-03-05 02:39:56,186 INFO: Sent event to localhost:50051: updated logical clock to 87, system_time=1741160396
2025-03-05 02:39:56,386 INFO: Sent message to localhost:50051: sent_clock=88, system_time=1741160396
2025-03-05 02:39:56,387 INFO: Sent event to localhost:50051: updated logical clock to 88, system_time=1741160396
2025-03-05 02:39:56,589 INFO: Internal event: updated logical clock to 89, system_time=1741160396
2025-03-05 02:39:56,792 INFO: Sent message to localhost:50051: sent_clock=90, system_time=1741160396
