2025-03-05 03:34:41,976 INFO: Machine machine2 initialized with tick rate 2 ticks per second
2025-03-05 03:34:58,604 INFO: Sent message to localhost:50051: sent_clock=34, system_time=1741163698
2025-03-05 03:34:58,606 INFO: Sent message to localhost:50053: sent_clock=34, system_time=1741163698
2025-03-05 03:34:58,606 INFO: Broadcast sent: updated logical clock to 34, system_time=1741163698
2025-03-05 03:34:59,106 INFO: Internal event: updated logical clock to 35, system_time=1741163699
2025-03-05 03:34:59,615 INFO: Sent message to localhost:50051: sent_clock=36, system_time=1741163699
2025-03-05 03:34:59,619 INFO: Sent message to localhost:50053: sent_clock=36, system_time=1741163699
2025-03-05 03:34:59,619 INFO: Broadcast sent: updated logical clock to 36, system_time=1741163699
2025-03-05 03:35:00,119 INFO: Sent message to localhost:50051: sent_clock=37, system_time=1741163700
2025-03-05 03:35:00,122 INFO: Sent message to localhost:50053: sent_clock=37, system_time=1741163700
2025-03-05 03:35:00,122 INFO: Broadcast sent: updated logical clock to 37, system_time=1741163700
2025-03-05 03:35:00,620 INFO: Sent message to localhost:50051: sent_clock=38, system_time=1741163700
2025-03-05 03:35:00,623 INFO: Sent message to localhost:50053: sent_clock=38, system_time=1741163700
2025-03-05 03:35:00,623 INFO: Broadcast sent: updated logical clock to 38, system_time=1741163700
2025-03-05 03:35:01,121 INFO: Internal event: updated logical clock to 39, system_time=1741163701
2025-03-05 03:35:01,628 INFO: Sent message to localhost:50053: sent_clock=40, system_time=1741163701
2025-03-05 03:35:01,628 INFO: Sent event to localhost:50053: updated logical clock to 40, system_time=1741163701
2025-03-05 03:35:02,134 INFO: Sent message to localhost:50051: sent_clock=41, system_time=1741163702
2025-03-05 03:35:02,135 INFO: Sent event to localhost:50051: updated logical clock to 41, system_time=1741163702
2025-03-05 03:35:02,632 INFO: Internal event: updated logical clock to 42, system_time=1741163702
2025-03-05 03:35:03,136 INFO: Internal event: updated logical clock to 43, system_time=1741163703
2025-03-05 03:35:03,644 INFO: Sent message to localhost:50051: sent_clock=44, system_time=1741163703
2025-03-05 03:35:03,644 INFO: Sent event to localhost:50051: updated logical clock to 44, system_time=1741163703
2025-03-05 03:35:04,150 INFO: Sent message to localhost:50053: sent_clock=45, system_time=1741163704
2025-03-05 03:35:04,150 INFO: Sent event to localhost:50053: updated logical clock to 45, system_time=1741163704
2025-03-05 03:35:04,652 INFO: Sent message to localhost:50051: sent_clock=46, system_time=1741163704
2025-03-05 03:35:04,654 INFO: Sent message to localhost:50053: sent_clock=46, system_time=1741163704
2025-03-05 03:35:04,654 INFO: Broadcast sent: updated logical clock to 46, system_time=1741163704
2025-03-05 03:35:05,157 INFO: Sent message to localhost:50051: sent_clock=47, system_time=1741163705
