2025-03-05 02:06:09.f - SEND - System Time: 2025-03-05 02:06:09.002867, Logical Clock: 102, Destination: Machine at ('localhost', 50001)
2025-03-05 02:06:09.f - SEND - System Time: 2025-03-05 02:06:09.004339, Logical Clock: 103, Destination: Machine at ('localhost', 50002)
2025-03-05 02:06:09.f - SEND - System Time: 2025-03-05 02:06:09.510486, Logical Clock: 104, Destination: Machine at ('localhost', 50001)
2025-03-05 02:06:10.f - SEND - System Time: 2025-03-05 02:06:10.014871, Logical Clock: 105, Destination: Machine at ('localhost', 50001)
2025-03-05 02:06:10.f - SEND - System Time: 2025-03-05 02:06:10.016209, Logical Clock: 106, Destination: Machine at ('localhost', 50002)
2025-03-05 02:06:10.f - SEND - System Time: 2025-03-05 02:06:10.517788, Logical Clock: 107, Destination: Machine at ('localhost', 50001)
2025-03-05 02:06:10.f - SEND - System Time: 2025-03-05 02:06:10.518515, Logical Clock: 108, Destination: Machine at ('localhost', 50002)
2025-03-05 02:06:11.f - SEND - System Time: 2025-03-05 02:06:11.022734, Logical Clock: 109, Destination: Machine at ('localhost', 50001)
2025-03-05 02:06:11.f - SEND - System Time: 2025-03-05 02:06:11.024133, Logical Clock: 110, Destination: Machine at ('localhost', 50002)
2025-03-05 02:06:11.f - SEND - System Time: 2025-03-05 02:06:11.530142, Logical Clock: 111, Destination: Machine at ('localhost', 50001)
2025-03-05 02:06:11.f - SEND - System Time: 2025-03-05 02:06:11.533869, Logical Clock: 112, Destination: Machine at ('localhost', 50002)
2025-03-05 02:06:12.f - RECEIVE - System Time: 2025-03-05 02:06:12.041126, Queue Length: 0, Logical Clock: 116, From: Machine 2
2025-03-05 02:06:12.f - RECEIVE - System Time: 2025-03-05 02:06:12.546301, Queue Length: 0, Logical Clock: 118, From: Machine 2
2025-03-05 02:06:13.f - RECEIVE - System Time: 2025-03-05 02:06:13.051571, Queue Length: 0, Logical Clock: 121, From: Machine 2
2025-03-05 02:06:13.f - SEND - System Time: 2025-03-05 02:06:13.556948, Logical Clock: 122, Destination: Machine at ('localhost', 50002)
2025-03-05 02:06:14.f - INTERNAL - System Time: 2025-03-05 02:06:14.065737, Logical Clock: 123
2025-03-05 02:06:14.f - RECEIVE - System Time: 2025-03-05 02:06:14.571045, Queue Length: 0, Logical Clock: 128, From: Machine 2
2025-03-05 02:06:15.f - RECEIVE - System Time: 2025-03-05 02:06:15.076391, Queue Length: 0, Logical Clock: 130, From: Machine 2
2025-03-05 02:06:15.f - SEND - System Time: 2025-03-05 02:06:15.581618, Logical Clock: 131, Destination: Machine at ('localhost', 50001)
2025-03-05 02:06:16.f - RECEIVE - System Time: 2025-03-05 02:06:16.087454, Queue Length: 0, Logical Clock: 135, From: Machine 2
2025-03-05 02:06:16.f - RECEIVE - System Time: 2025-03-05 02:06:16.592039, Queue Length: 0, Logical Clock: 137, From: Machine 2
2025-03-05 02:06:17.f - RECEIVE - System Time: 2025-03-05 02:06:17.097312, Queue Length: 0, Logical Clock: 141, From: Machine 2
2025-03-05 02:06:17.f - INTERNAL - System Time: 2025-03-05 02:06:17.602630, Logical Clock: 142
2025-03-05 02:06:18.f - RECEIVE - System Time: 2025-03-05 02:06:18.106559, Queue Length: 0, Logical Clock: 145, From: Machine 2
2025-03-05 02:06:18.f - SEND - System Time: 2025-03-05 02:06:18.607589, Logical Clock: 146, Destination: Machine at ('localhost', 50001)
2025-03-05 02:06:19.f - INTERNAL - System Time: 2025-03-05 02:06:19.113301, Logical Clock: 147
2025-03-05 02:06:19.f - INTERNAL - System Time: 2025-03-05 02:06:19.618485, Logical Clock: 148
2025-03-05 02:06:20.f - RECEIVE - System Time: 2025-03-05 02:06:20.120505, Queue Length: 0, Logical Clock: 154, From: Machine 2
2025-03-05 02:06:20.f - RECEIVE - System Time: 2025-03-05 02:06:20.622435, Queue Length: 0, Logical Clock: 156, From: Machine 2
2025-03-05 02:06:21.f - RECEIVE - System Time: 2025-03-05 02:06:21.123870, Queue Length: 0, Logical Clock: 160, From: Machine 2
2025-03-05 02:06:21.f - RECEIVE - System Time: 2025-03-05 02:06:21.629245, Queue Length: 0, Logical Clock: 162, From: Machine 2
2025-03-05 02:06:22.f - RECEIVE - System Time: 2025-03-05 02:06:22.132316, Queue Length: 0, Logical Clock: 165, From: Machine 2
2025-03-05 02:06:22.f - RECEIVE - System Time: 2025-03-05 02:06:22.637590, Queue Length: 0, Logical Clock: 167, From: Machine 2
2025-03-05 02:06:23.f - SEND - System Time: 2025-03-05 02:06:23.143402, Logical Clock: 168, Destination: Machine at ('localhost', 50001)
2025-03-05 02:06:23.f - SEND - System Time: 2025-03-05 02:06:23.146608, Logical Clock: 169, Destination: Machine at ('localhost', 50002)
2025-03-05 02:06:23.f - RECEIVE - System Time: 2025-03-05 02:06:23.653411, Queue Length: 0, Logical Clock: 172, From: Machine 2
2025-03-05 02:06:24.f - RECEIVE - System Time: 2025-03-05 02:06:24.156282, Queue Length: 1, Logical Clock: 174, From: Machine 2
2025-03-05 02:06:24.f - RECEIVE - System Time: 2025-03-05 02:06:24.660260, Queue Length: 2, Logical Clock: 176, From: Machine 2
2025-03-05 02:06:25.f - RECEIVE - System Time: 2025-03-05 02:06:25.160732, Queue Length: 2, Logical Clock: 178, From: Machine 2
2025-03-05 02:06:25.f - RECEIVE - System Time: 2025-03-05 02:06:25.661184, Queue Length: 3, Logical Clock: 180, From: Machine 2
2025-03-05 02:06:26.f - RECEIVE - System Time: 2025-03-05 02:06:26.165848, Queue Length: 3, Logical Clock: 182, From: Machine 2
2025-03-05 02:06:26.f - RECEIVE - System Time: 2025-03-05 02:06:26.668313, Queue Length: 2, Logical Clock: 183, From: Machine 2
2025-03-05 02:06:27.f - RECEIVE - System Time: 2025-03-05 02:06:27.173715, Queue Length: 2, Logical Clock: 184, From: Machine 2
2025-03-05 02:06:27.f - RECEIVE - System Time: 2025-03-05 02:06:27.675283, Queue Length: 2, Logical Clock: 185, From: Machine 2
2025-03-05 02:06:28.f - RECEIVE - System Time: 2025-03-05 02:06:28.178809, Queue Length: 2, Logical Clock: 189, From: Machine 2
2025-03-05 02:06:28.f - RECEIVE - System Time: 2025-03-05 02:06:28.680023, Queue Length: 1, Logical Clock: 193, From: Machine 2
2025-03-05 02:06:29.f - RECEIVE - System Time: 2025-03-05 02:06:29.181137, Queue Length: 1, Logical Clock: 195, From: Machine 2
2025-03-05 02:06:29.f - RECEIVE - System Time: 2025-03-05 02:06:29.683853, Queue Length: 1, Logical Clock: 198, From: Machine 2
2025-03-05 02:06:30.f - RECEIVE - System Time: 2025-03-05 02:06:30.189057, Queue Length: 1, Logical Clock: 199, From: Machine 2
2025-03-05 02:06:30.f - RECEIVE - System Time: 2025-03-05 02:06:30.694437, Queue Length: 0, Logical Clock: 202, From: Machine 2
2025-03-05 02:06:31.f - INTERNAL - System Time: 2025-03-05 02:06:31.199830, Logical Clock: 203
2025-03-05 02:06:31.f - RECEIVE - System Time: 2025-03-05 02:06:31.702371, Queue Length: 0, Logical Clock: 210, From: Machine 2
2025-03-05 02:06:32.f - RECEIVE - System Time: 2025-03-05 02:06:32.203474, Queue Length: 1, Logical Clock: 211, From: Machine 2
2025-03-05 02:06:32.f - RECEIVE - System Time: 2025-03-05 02:06:32.704182, Queue Length: 1, Logical Clock: 212, From: Machine 2
2025-03-05 02:06:33.f - RECEIVE - System Time: 2025-03-05 02:06:33.206868, Queue Length: 2, Logical Clock: 213, From: Machine 2
2025-03-05 02:06:33.f - RECEIVE - System Time: 2025-03-05 02:06:33.711528, Queue Length: 1, Logical Clock: 216, From: Machine 2
2025-03-05 02:06:34.f - RECEIVE - System Time: 2025-03-05 02:06:34.216247, Queue Length: 1, Logical Clock: 217, From: Machine 2
2025-03-05 02:06:34.f - RECEIVE - System Time: 2025-03-05 02:06:34.721615, Queue Length: 1, Logical Clock: 222, From: Machine 2
2025-03-05 02:06:35.f - RECEIVE - System Time: 2025-03-05 02:06:35.227049, Queue Length: 1, Logical Clock: 223, From: Machine 2
2025-03-05 02:06:35.f - RECEIVE - System Time: 2025-03-05 02:06:35.729006, Queue Length: 2, Logical Clock: 227, From: Machine 2
