2025-03-05 03:12:37,257 INFO: Machine machine2 initialized with tick rate 100 ticks per second
2025-03-05 03:12:37,258 INFO: Internal event: updated logical clock to 1, system_time=1741162357
2025-03-05 03:12:37,265 INFO: gRPC server started on port 50052
2025-03-05 03:12:37,268 INFO: Received message from machine1: received_clock=1, system_time=1741162357
2025-03-05 03:12:37,271 INFO: Processed received message: updated logical clock to 2, system_time=1741162357, queue_length=0
2025-03-05 03:12:37,295 INFO: Sent message to localhost:50051: sent_clock=3, system_time=1741162357
2025-03-05 03:12:37,298 INFO: Sent message to localhost:50053: sent_clock=3, system_time=1741162357
2025-03-05 03:12:37,298 INFO: Broadcast sent: updated logical clock to 3, system_time=1741162357
2025-03-05 03:12:37,299 INFO: Sent message to localhost:50053: sent_clock=4, system_time=1741162357
2025-03-05 03:12:37,299 INFO: Sent event to localhost:50053: updated logical clock to 4, system_time=1741162357
2025-03-05 03:12:37,310 INFO: Internal event: updated logical clock to 5, system_time=1741162357
2025-03-05 03:12:37,323 INFO: Internal event: updated logical clock to 6, system_time=1741162357
2025-03-05 03:12:37,335 INFO: Internal event: updated logical clock to 7, system_time=1741162357
2025-03-05 03:12:37,348 INFO: Internal event: updated logical clock to 8, system_time=1741162357
2025-03-05 03:12:37,360 INFO: Sent message to localhost:50051: sent_clock=9, system_time=1741162357
2025-03-05 03:12:37,361 INFO: Sent message to localhost:50053: sent_clock=9, system_time=1741162357
2025-03-05 03:12:37,361 INFO: Broadcast sent: updated logical clock to 9, system_time=1741162357
2025-03-05 03:12:37,369 INFO: Internal event: updated logical clock to 10, system_time=1741162357
2025-03-05 03:12:37,380 INFO: Internal event: updated logical clock to 11, system_time=1741162357
2025-03-05 03:12:37,392 INFO: Internal event: updated logical clock to 12, system_time=1741162357
2025-03-05 03:12:37,404 INFO: Internal event: updated logical clock to 13, system_time=1741162357
2025-03-05 03:12:37,418 INFO: Sent message to localhost:50051: sent_clock=14, system_time=1741162357
2025-03-05 03:12:37,419 INFO: Sent message to localhost:50053: sent_clock=14, system_time=1741162357
2025-03-05 03:12:37,419 INFO: Broadcast sent: updated logical clock to 14, system_time=1741162357
2025-03-05 03:12:37,426 INFO: Internal event: updated logical clock to 15, system_time=1741162357
2025-03-05 03:12:37,438 INFO: Internal event: updated logical clock to 16, system_time=1741162357
2025-03-05 03:12:37,450 INFO: Internal event: updated logical clock to 17, system_time=1741162357
2025-03-05 03:12:37,464 INFO: Sent message to localhost:50053: sent_clock=18, system_time=1741162357
2025-03-05 03:12:37,464 INFO: Sent event to localhost:50053: updated logical clock to 18, system_time=1741162357
2025-03-05 03:12:37,474 INFO: Internal event: updated logical clock to 19, system_time=1741162357
2025-03-05 03:12:37,486 INFO: Sent message to localhost:50053: sent_clock=20, system_time=1741162357
2025-03-05 03:12:37,486 INFO: Sent event to localhost:50053: updated logical clock to 20, system_time=1741162357
2025-03-05 03:12:37,496 INFO: Internal event: updated logical clock to 21, system_time=1741162357
2025-03-05 03:12:37,508 INFO: Internal event: updated logical clock to 22, system_time=1741162357
2025-03-05 03:12:37,521 INFO: Internal event: updated logical clock to 23, system_time=1741162357
2025-03-05 03:12:37,532 INFO: Internal event: updated logical clock to 24, system_time=1741162357
2025-03-05 03:12:37,542 INFO: Internal event: updated logical clock to 25, system_time=1741162357
2025-03-05 03:12:37,557 INFO: Sent message to localhost:50051: sent_clock=26, system_time=1741162357
2025-03-05 03:12:37,559 INFO: Sent message to localhost:50053: sent_clock=26, system_time=1741162357
